1	30	55	40	80	0.8
1	-20	105	40	110	1.1
1	-103	155	40	50	1.3
1	-450	55	40	130	0.8
1	-360	105	40	105	1.1
1	-243	155	40	70	1.3
1	-670	55	40	90	0.8
1	-559	105	40	130	1.1
1	-647	155	40	120	1.3
1	-830	55	40	104	0.8
1	-840	105	40	130	1.1
1	-903	155	40	70	1.3
1	-980	55	40	90	0.8
1	-1150	105	40	100	1.1
1	-1213	155	40	70	1.3
1	-1350	55	40	110	0.8
1	-1450	105	40	113	1.1
1	-1503	155	40	80	1.3
2	0	255	40	180	0.6
2	-50	305	40	170	0.8
2	-203	355	40	120	0.5
2	-200	405	40	200	0.4
2	-450	255	40	140	0.6
2	-350	305	40	135	0.8
2	-353	355	40	100	0.5
2	-400	405	40	110	0.4
2	-600	255	40	120	0.6
2	-659	305	40	140	0.8
2	-607	355	40	90	0.5
2	-677	405	40	150	0.4
2	-750	255	40	170	0.6
2 	-850	305	40	130	0.8
2	-803	355	40	150	0.5
2	-833	405	40	130	0.4
2	-940	255	40	130	0.6
2	-1050	305	40	150	0.8
2	-1203	355	40	130	0.5
2	-1273	405	40	150	0.4
2	-1350	255	40	140	0.6
2	-1450	305	40	120	0.8
2	-1503	355	40	140	0.5
2	-1460	405	40	150	0.4
2	-1550	255	40	140	0.6
